network,app,setting,num_nodes,tput,p50,p99,_notes
,,,,,,,"num of keys = 1000000000, read ratio = 0.95"
Lan,Ycsb,Full,4,99373.15478806864,0.276561919,0.304349183
Lan,Ycsb,Full,10,110341.30354388004,0.283901951,0.319291391
Lan,Ycsb,Full,25,109970.84929164607,0.216399871,0.317980671
Lan,Ycsb,Full,40,99407.04384711928,0.211156991,0.440139775
Lan,Ycsb,Full,55,116837.84553268497,0.166985727,0.349175807
Lan,Ycsb,Full,70,114680.05894888793,0.172883967,0.238944255
Lan,Ycsb,Full,85,109507.67921818825,0.180617215,0.257687551
Lan,Ycsb,Full,100,101414.6265837003,0.195559423,0.273940479
Lan,Ycsb,Sharded,20,220304.56915054016,0.024608767,0.582483967
Lan,Ycsb,Sharded,40,450205.3331622144,0.019447807,0.702545919
Lan,Ycsb,Sharded,60,683381.788872716,0.018989055,1.307574271
Lan,Ycsb,Sharded,80,788507.0856881517,0.014221311,1.689255935
Lan,Ycsb,Sharded,100,956384.3617994719,0.019906559,2.399141887
