network,app,setting,num_nodes,tput,p50,p99,_notes
,,,,,,,"num of keys = 1000000000, read ratio = 0.95"
Wan,Ycsb,Full,4,100421.3477942139,7.923040255,8.128561151
Wan,Ycsb,Full,10,109053.0885753011,7.587495935,7.813988351
Wan,Ycsb,Full,25,107923.5066026445,7.491026943,7.709130751
Wan,Ycsb,Full,40,105239.08134815824,7.553941503,7.864319999
Wan,Ycsb,Full,55,119944.96391415254,6.736052223,7.247757311
Wan,Ycsb,Full,70,121777.49884087498,6.585057279,7.268728831
Wan,Ycsb,Full,85,116134.7069908472,6.912212991,7.306477567
Wan,Ycsb,Full,100,116833.80190466116,6.920601599,7.281311743
Wan,Ycsb,Sharded,20,223573.06875594208,5.511315455,6.392119295
Wan,Ycsb,Sharded,40,467689.639470588,4.940890111,7.642021887
Wan,Ycsb,Sharded,60,721113.8556858696,4.991221759,7.637827583
Wan,Ycsb,Sharded,80,1000769.2785641764,4.341104639,12.893290495
Wan,Ycsb,Sharded,100,1387919.456810071,3.458203647,14.134804479
